year,title,artist,song_id,lyric,genre
1985,이젠 사랑할 수 있어요,해바라기,2036556,"
							난 눈물이 메마른 줄 알았어요여태 사랑을 다시 못할 줄 알았어요오늘 난 자욱한 연기 사이로 사랑의 짝을 보았어요난 지금껏 어둔 밤을 헤맸어요여태 지워야할 기억이 너무 많았아요오늘 난 식어버린 마음 구석에 사랑의 불씨를 당겼어요*이제 다시 이제 다시 사랑할 수 있어요이제 진정 이제 진정 웃을 수 있어요방금 하신 얘기 그 눈길이 아쉬워그대 곁에서 훨훨 떠날 수는 없어요*반복떠날 수는 없어요
					",포크/블루스
1985,"어제, 오늘, 그리고",조용필,68142,"
							바람소리처럼멀리 사라져갈 인생길우린 무슨 사랑어떤 사랑했나텅 빈 가슴속에가득 채울 것을 찾아서우린 정처 없이떠나가고 있네여기 길 떠나는저기 방황하는 사람아우린 모두 같이떠나가고 있구나끝없이 시작된 방랑 속에서어제도 오늘도 나는 울었네어제 우리가찾은 것은 무엇인가잃은 것은 무엇인가버린 것은 무엇인가오늘 우리가찾은 것은 무엇인가잃은 것은 무엇인가남은 것은 무엇인가오늘 우리가찾은 것은 무엇인가잃은 것은 무엇인가남은 것은 무엇인가어떤 날은 웃고어떤 날은 울고 우는데어떤 꽃은 피고어떤 꽃은 지고 있네오늘 찾지 못한나의 알 수 없는 미련에헤어날수 없는 슬픔으로 있네여기 길 떠나는저기 방황하는 사람아우린 모두 같이떠나가고 있구나끝없이 시작된 방랑 속에서어제도 오늘도 나는 울었네어제 우리가찾은 것은 무엇인가잃은 것은 무엇인가버린 것은 무엇인가오늘 우리가찾은 것은 무엇인가잃은 것은 무엇인가남은 것은 무엇인가
					",록/메탈
1985,희나리,구창모,3328252,"
							사랑함에 세심했던 나의 마음이그렇게도 그대에겐 구속이었소믿지못해 그런 것이 아니었는데어쩌다가 헤어지는 이유가 됐소내게 무슨 마음의 병 있는 것처럼느낄 만큼 알 수 없는 사람이 되어그대 외려 나를 점점 믿지 못하고왠지 나를 그런 쪽에 가깝게 했소나의 잘못이라면 그대를 위한내 마음의 전부를 준 것뿐인데죄인처럼 그대 곁에 가지 못하고남이 아닌 남이 되어 버린 지금에기다릴 수밖에 없는 나의 마음은퇴색하기 싫어하는 희나리 같소내게 무슨 마음의 병 있는 것처럼느낄 만큼 알 수 없는 사람이 되어그대 외려 나를 점점 믿지 못하고왠지 나를 그런 쪽에 가깝게 했소
나의 잘못이라면 그대를 위한내 마음의 전부를 준 것뿐인데죄인처럼 그대 곁에 가지 못하고남이 아닌 남이 되어 버린 지금에기다릴 수밖에 없는 나의 마음은퇴색하기 싫어하는 희나리 같소퇴색하기 싫어하는 희나리 같소
					","발라드, 성인가요"
1985,아직도 어두운 밤인가봐,전영록,48478,"
							아직도 어두운 밤인가봐하늘엔 반짝이는 별들이내 모습을 가끔 쳐다보네아직도 어두운 밤인가봐지금은 지나버린 바람이쓸쓸하게 나를 감싸주네언젠가 어렴풋이기억이 나겠지만어둠의 추억일랑이제는 잊어야지우리 이젠 지난얘기불꽃처럼 날리우고처음보는 타인처럼언젠가는 미련없이아직도 어두운 밤인가봐하늘엔 반짝이는 별들이내 모습을 가끔 쳐다보네아직도 어두운 밤인가봐하늘엔 반짝이는 별들이내 모습을 가끔 쳐다보네아직도 어두운 밤인가봐지금은 지나버린 바람이쓸쓸하게 나를 감싸주네언젠가 어렴풋이기억이 나겠지만어둠의 추억일랑이제는 잊어야지우리 이젠 지난얘기불꽃처럼 날리우고처음보는 타인처럼언젠가는 미련없이아직도 어두운 밤인가봐하늘엔 반짝이는 별들이내 모습을 가끔 쳐다보네
					",댄스
1985,모두가 사랑이예요,해바라기,992352,"
							모두가 이별이에요따뜻한 공간과도 이별수많은 시간과도이별이지요 이별이지요콧날이 시큰해지고눈이 아파오네요이것이 슬픔이란 걸난 알아요모두가 사랑이예요사랑하는 사람도 많고요사랑해주는 사람도많았어요 모두가 사랑이에요마음이 넓어지고예뻐질 것 같아요이것이 행복이란 걸난 알아요콧날이 시큰해지고눈이 아파오네요이것이 슬픔이란 걸난 알아요이것이 슬픔이란 걸난 알아요 
					",포크/블루스
1985,바위섬,김원중,51971,"
							파도가 부서지는 바위섬인적없던 이 곳에세상 사람들하나 둘 모여 들더니어느 밤 폭풍우에 휘말려모두 사라지고남은 것은 바위섬과흰 파도라네바위섬 너는 내가 미워도나는 너를 너무 사랑해다시 태어나지 못해도너를 사랑해이제는 갈매기도 떠나고아무도 없지만나는 이 곳 바위섬에살고 싶어라바위섬 너는 내가 미워도나는 너를 너무 사랑해다시 태어나지 못해도너를 사랑해이제는 갈매기도 떠나고아무도 없지만나는 이 곳 바위섬에살고 싶어라나는 이 곳 바위섬에살고 싶어라 
					",포크/블루스
1985,하늘 나라 우리님 1,송골매,733017,"
							하늘은 매서웁고 흰눈이 가득한 날사랑하는 님 찾으러 천상에 올라갈제신 벗어 손에 쥐고 버선 벗어 품에 품고곰뷔 님뷔 님뷔 곰뷔천방 지방 지방 천방한번도 쉬지 않고 허위 허위 올라가니버선 벗은 발일랑은 쓰리지 아니한데님 그리는 온 가슴만 산득 산들 하더라님 그리는 온 가슴만 산득 산들 하더라하늘은 매서웁고 흰눈이 가득한 날사랑하는 님 찾으러 천상에 올라갈제신 벗어 손에 쥐고 버선 벗어 품에 품고곰뷔 님뷔 님뷔 곰뷔천방 지방 지방 천방한번도 쉬지 않고 허위 허위 올라가니버선 벗은 발일랑은 쓰리지 아니한데님 그리는 온 가슴만 산득 산들 하더라님 그리는 온 가슴만 산득 산들 하더라 
					",록/메탈
1985,"바람, 바람, 바람",김범룡,1028281,"
							문밖엔 귀뚜라미 울고산새들 지저귀는데내 님은 오시지는 않고어둠만이 짙어가네저멀리엔 기타소리귓가에 들려오는데언제 님은 오시려나바람만 휭하니 부네내 님은 바람이련가스치고 지나가는 바람오늘도 잠 못 이루고어둠속에 잠기네그대 이름은 바람 바람 바람왔다가 사라지는 바람그대 이름은 바람 바람 바람날 울려 놓고 가는 바람창가에 우두커니 앉아어두운 창밖 바라보면힘없는 내 손 잡아주며님은 곧 오실것 같아저멀리엔 교회 종소리귓가에 들려오는데언제 님은 오시려나바람만 휭하니 부네내 님은 바람이련가스치고 지나가는 바람오늘도 잠 못 이루고어둠속에 잠기네그대 이름은 바람 바람 바람왔다가 사라지는 바람그대 이름은 바람 바람 바람날 울려 놓고 가는 바람날 울려 놓고 가는 바람날 울려 놓고 가는 바람 
					",성인가요
1985,말하고 싶어요,한마음,637620,"
							말하고 싶어요그대 떠나가도내 사랑은 오직당신뿐이라고말하고 싶어요그대 떠나가도가슴 가득한 이 사랑은모두 당신 것이라고말하고 싶어요그대 떠나가도이젠 다시 사랑의아픔 없을거라고말하고 싶어요그대 떠나가도당신 사랑이 남겨준기쁨만 생각할거라고그립다 말 못하고사랑한단 말 더욱 못해도돌아서면 감추는 눈물이내 마음이잖아요말하고 싶어요그대 내게 있는다면다시 한번 당신의작은 사랑 될거라고말하고 싶어요그대 내게 있는다면당신 가슴에 기대어작은 눈물 흘릴거라고그립다 말 못하고사랑한단 말 더욱 못해도돌아서면 감추는 눈물이내 마음이잖아요내 마음이잖아요 
					",포크/블루스
1985,이별노래,이동원,1569503,"
							떠나는 그대조금만 더 늦게 떠나준다면그대 떠난 뒤에도내 그대를 사랑하기에아직 늦지 않으리그대 떠나는 곳내 먼저 떠나가서그대에 뒷모습에 깔리는노을이 되리니옷 깃을 여미고 어둠속에서사람의 집들이 어두워지면나 그대위해노래하는 별이 되리니난 그대조금만 더 늦게 떠나준다면그대 떠난 뒤에도내 그대를 사랑하기에아직 늦지 않으리그대 떠나는 곳내 먼저 떠나가서그대에 뒷모습에 깔리는노을이 되리니옷 깃을 여미고 어둠속에서사람의 집들이 어두워지면나 그대 위해노래하는 별이 되리니난 그대조금만 더 늦게 떠나준다면그대 떠난 뒤에도내 그대를 사랑하기에아직 늦지 않으리
					",포크/블루스
