year,title,artist,song_id,lyric,genre
1992,10년전의 일기를 꺼내어,봄여름가을겨울,49473,"
							내겐 더 많은 날이 있어무슨 걱정 있을까어제 힘들었던 순간들은모두 지나간 것 일뿐내겐 더 많은 날이 있어무슨 걱정 있을까하루 하루 사는 것은모두 기쁨일 뿐이야오늘은 낡은 책상 서랍에서십년이나 지난일기를 꺼내어 들었지왜 그토록 많은고민의 낱말들이그 속을 가득 메우고 있는지그 오랜 기록들이어두운 거미줄에쌓여 있는 동안물론 힘겨운 날들도 많았지만가끔은 깜짝 놀랄 만큼재미있는 일도 있었다고생각을 해봐그래 지금은 모두힘겹다고 하겠지하지만 하지만다가올 날들을상상 해보면 어떨까세상은 그렇게어두운 것만은 아니잖아내겐 더 많은 날이 있어무슨 걱정 있을까하루 하루 사는 것은모두 기쁨일 뿐이야후욱하고 날려 버린 먼지들이십년이나 지난 일기 위에는수북이 쌓여 있었지왜 그토록 많은외로움의 낱말들이그 위에 덮여 있는지그래 지금 힙겹다고생각하는 날들도언젠가 다가올 날에는다시 돌아 오고픈 시간일거야세상은 그렇게어두운 것만은 아니잖아내겐 더 많은 날이 있어무슨 걱정 있을까어제 힘들었던 순간들은모두 지나간 것일뿐내겐 더 많은 날이 있어무슨 걱정 있을까하루 하루 사는 것은모두 기쁨일 뿐이야내겐 더 많은 날이 있어무슨 걱정 있을까어제 힘들었던 순간들은모두 지나간 것일뿐
					",록/메탈
1992,도시인,넥스트,49035,"
							아침엔 우유 한잔 점심엔 FAST FOOD쫓기는 사람처럼 시계바늘 보면서거리를 가득메운 자동차 경적소리어깨를 늘어뜨린 학생들THIS IS THE CITY LIFE!모두가 똑같은 얼굴을 하고손을 내밀어 악수하지만가슴속에는 모두 다른 마음각자 걸어가고 있는거야아무런 말없이 어디로 가는가함께 있지만 외로운 사람들어젯밤 술이 덜 깬 흐릿한 두 눈으로자판기 커피 한 잔 구겨진 셔츠 샐러리맨기계 부속품처럼 큰 빌딩속에 앉아점점 빨리가는 세월들THIS IS THE CITY LIFE!모두가 똑같은 얼굴을 하고손을 내밀어 악수하지만가슴속에는 모두 다른 마음각자 걸어가고 있는거야아무런 말없이 어디로 가는가함께 있지만 외로운 사람들THIS IS THE CITY LIFE!한 손엔 휴대전화 허리엔 삐삐차고집이란 잠자는 곳 직장이란 전쟁터회색빛의 빌딩들 회색빛의 하늘과회색 얼굴의 사람들THIS IS THE CITY LIFE!아무런 말없이 어디로 가는가함께 있지만 외로운 사람들아무 말없이 어디로 가는가함께 있지만 외로운 사람들
					",록/메탈
1992,도시인,넥스트,49035,"
							아침엔 우유 한잔 점심엔 FAST FOOD쫓기는 사람처럼 시계바늘 보면서거리를 가득메운 자동차 경적소리어깨를 늘어뜨린 학생들THIS IS THE CITY LIFE!모두가 똑같은 얼굴을 하고손을 내밀어 악수하지만가슴속에는 모두 다른 마음각자 걸어가고 있는거야아무런 말없이 어디로 가는가함께 있지만 외로운 사람들어젯밤 술이 덜 깬 흐릿한 두 눈으로자판기 커피 한 잔 구겨진 셔츠 샐러리맨기계 부속품처럼 큰 빌딩속에 앉아점점 빨리가는 세월들THIS IS THE CITY LIFE!모두가 똑같은 얼굴을 하고손을 내밀어 악수하지만가슴속에는 모두 다른 마음각자 걸어가고 있는거야아무런 말없이 어디로 가는가함께 있지만 외로운 사람들THIS IS THE CITY LIFE!한 손엔 휴대전화 허리엔 삐삐차고집이란 잠자는 곳 직장이란 전쟁터회색빛의 빌딩들 회색빛의 하늘과회색 얼굴의 사람들THIS IS THE CITY LIFE!아무런 말없이 어디로 가는가함께 있지만 외로운 사람들아무 말없이 어디로 가는가함께 있지만 외로운 사람들
					",록/메탈
1993,도시인,넥스트,49035,"
							아침엔 우유 한잔 점심엔 FAST FOOD쫓기는 사람처럼 시계바늘 보면서거리를 가득메운 자동차 경적소리어깨를 늘어뜨린 학생들THIS IS THE CITY LIFE!모두가 똑같은 얼굴을 하고손을 내밀어 악수하지만가슴속에는 모두 다른 마음각자 걸어가고 있는거야아무런 말없이 어디로 가는가함께 있지만 외로운 사람들어젯밤 술이 덜 깬 흐릿한 두 눈으로자판기 커피 한 잔 구겨진 셔츠 샐러리맨기계 부속품처럼 큰 빌딩속에 앉아점점 빨리가는 세월들THIS IS THE CITY LIFE!모두가 똑같은 얼굴을 하고손을 내밀어 악수하지만가슴속에는 모두 다른 마음각자 걸어가고 있는거야아무런 말없이 어디로 가는가함께 있지만 외로운 사람들THIS IS THE CITY LIFE!한 손엔 휴대전화 허리엔 삐삐차고집이란 잠자는 곳 직장이란 전쟁터회색빛의 빌딩들 회색빛의 하늘과회색 얼굴의 사람들THIS IS THE CITY LIFE!아무런 말없이 어디로 가는가함께 있지만 외로운 사람들아무 말없이 어디로 가는가함께 있지만 외로운 사람들
					",록/메탈
1993,도시인,넥스트,49035,"
							아침엔 우유 한잔 점심엔 FAST FOOD쫓기는 사람처럼 시계바늘 보면서거리를 가득메운 자동차 경적소리어깨를 늘어뜨린 학생들THIS IS THE CITY LIFE!모두가 똑같은 얼굴을 하고손을 내밀어 악수하지만가슴속에는 모두 다른 마음각자 걸어가고 있는거야아무런 말없이 어디로 가는가함께 있지만 외로운 사람들어젯밤 술이 덜 깬 흐릿한 두 눈으로자판기 커피 한 잔 구겨진 셔츠 샐러리맨기계 부속품처럼 큰 빌딩속에 앉아점점 빨리가는 세월들THIS IS THE CITY LIFE!모두가 똑같은 얼굴을 하고손을 내밀어 악수하지만가슴속에는 모두 다른 마음각자 걸어가고 있는거야아무런 말없이 어디로 가는가함께 있지만 외로운 사람들THIS IS THE CITY LIFE!한 손엔 휴대전화 허리엔 삐삐차고집이란 잠자는 곳 직장이란 전쟁터회색빛의 빌딩들 회색빛의 하늘과회색 얼굴의 사람들THIS IS THE CITY LIFE!아무런 말없이 어디로 가는가함께 있지만 외로운 사람들아무 말없이 어디로 가는가함께 있지만 외로운 사람들
					",록/메탈
1992,아주 오래된 연인들,015B,50733,"
							저녁이 되면 의무감으로 전화를 하고 관심도 없는 서로의 일과를 묻곤 하지 가끔씩은 사랑한단 말로 서로에게 위로하겠지만 그런것도 예전에 가졌던 두근거림은 아니야 처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  주말이 되면 습관적으로 약속을 하고  서로를 위해 봉사한다고 생각을 하지  가끔씩은 서로의 눈 피해 다른 사람 만나기도 하고 자연스레 이별할 기회를 찾으려 할때도 있지  처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  스탑더 빅         
					",발라드
1992,아주 오래된 연인들,015B,50733,"
							저녁이 되면 의무감으로 전화를 하고 관심도 없는 서로의 일과를 묻곤 하지 가끔씩은 사랑한단 말로 서로에게 위로하겠지만 그런것도 예전에 가졌던 두근거림은 아니야 처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  주말이 되면 습관적으로 약속을 하고  서로를 위해 봉사한다고 생각을 하지  가끔씩은 서로의 눈 피해 다른 사람 만나기도 하고 자연스레 이별할 기회를 찾으려 할때도 있지  처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  스탑더 빅         
					",발라드
1993,아주 오래된 연인들,015B,50733,"
							저녁이 되면 의무감으로 전화를 하고 관심도 없는 서로의 일과를 묻곤 하지 가끔씩은 사랑한단 말로 서로에게 위로하겠지만 그런것도 예전에 가졌던 두근거림은 아니야 처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  주말이 되면 습관적으로 약속을 하고  서로를 위해 봉사한다고 생각을 하지  가끔씩은 서로의 눈 피해 다른 사람 만나기도 하고 자연스레 이별할 기회를 찾으려 할때도 있지  처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  스탑더 빅         
					",발라드
1993,아주 오래된 연인들,015B,50733,"
							저녁이 되면 의무감으로 전화를 하고 관심도 없는 서로의 일과를 묻곤 하지 가끔씩은 사랑한단 말로 서로에게 위로하겠지만 그런것도 예전에 가졌던 두근거림은 아니야 처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  주말이 되면 습관적으로 약속을 하고  서로를 위해 봉사한다고 생각을 하지  가끔씩은 서로의 눈 피해 다른 사람 만나기도 하고 자연스레 이별할 기회를 찾으려 할때도 있지  처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  처음에 만난 그 느낌 그 설레임을 찾는 다면 우리가 느낀 싫증은 이젠 없는 거야  스탑더 빅         
					",발라드
1992,난 알아요,서태지와 아이들,50012,"
							난 알아요 이밤이 흐르고 흐르면누군가가 나를 떠나 버려야 한다는 그 사실을 그 이유를이제는 나도 알 수가 알 수가 있어요사랑을 한다는 말을 못했어어쨌거나 지금은 너무 늦어 버렸어그때 나는 무얼하고 있었나 그 미소는 너무 아름다웠어난 정말 그대 그대만을 좋아했어나에게 이런 슬픔 안겨주는 그대여제발 이별만은 말하지 말아요나에겐 오직 그대만이 전부였잖아오 그대여 가지마세요 나를 정말 떠나 가나요오 그대여 가지마세요 나는 지금 울잖아요난 알아요 이밤이 흐르면 요그대 떠나는 모습 뒤로하고 마지막 키스에 슬픈 마음 정말 떠나는가사랑을 하고싶어 너의 모든 향기나의 몸속에 젖어있는 너의 많은 숨결그 미소 그눈물 그 알 수 없는 마음에 마음그리곤 또 마음에 마음그 어렵다는 편지는 쓰지 않아도 돼너의 진실한 모습을 바라보고 있어요아직도 마음속엔 내가 있나요나는 그대의 영원한난 정말 그대 그대만을 좋아했어나에게 이런 슬픔 안겨주는 그대여오 그대여 가지마세요나를 정말 떠나 가나요오 그대여 가지마세요 나는 지금 울잖아요오 그대여 가지마세요 나를 정말 떠나 가나요오 그대여 가지마세요 나는 지금 울잖아요
					",댄스
