,genre,year,word,freq
1,성인가요,1964,일,6
2,성인가요,1964,거리,12
4,성인가요,1964,물결,5
7,성인가요,1964,하나,8
8,성인가요,1964,둘,6
16,성인가요,1964,마음,10
20,성인가요,1964,때,7
17,성인가요,1964,얼굴,6
23,성인가요,1964,모습,6
2,성인가요,1964,사랑,11
7,성인가요,1964,가슴,13
11,성인가요,1964,것,5
14,성인가요,1964,밤,19
17,성인가요,1964,보고,5
4,성인가요,1964,내,6
16,성인가요,1964,말,6
17,성인가요,1964,그,17
22,성인가요,1964,날,9
12,성인가요,1964,비,6
22,성인가요,1964,나,5
0,성인가요,1964,항구,9
3,성인가요,1964,부기우기,8
11,성인가요,1964,저,7
16,성인가요,1964,이,10
17,성인가요,1964,마도,13
18,성인가요,1964,로스,13
15,성인가요,1964,그대,10
18,성인가요,1964,사나이,6
38,성인가요,1964,나리,7
6,성인가요,1964,아가씨,10
15,성인가요,1964,라라라라,6
0,성인가요,1964,눈,6
4,성인가요,1964,구두,6
8,성인가요,1964,소리,6
14,성인가요,1964,님,6
5,성인가요,1964,영등포,8
12,성인가요,1964,길,6
15,성인가요,1964,속,9
6,성인가요,1964,첫사랑,6
0,성인가요,1965,내,16
1,성인가요,1965,이름,7
2,성인가요,1965,소녀,7
3,성인가요,1965,꿈,10
0,성인가요,1965,누가,24
1,성인가요,1965,이,32
2,성인가요,1965,사람,8
8,성인가요,1965,달,5
10,성인가요,1965,세상,7
12,성인가요,1965,나,16
14,성인가요,1965,맹세,8
15,성인가요,1965,여인,8
20,성인가요,1965,마음,16
24,성인가요,1965,임,6
3,성인가요,1965,그대,8
9,성인가요,1965,님,7
14,성인가요,1965,사랑,8
0,성인가요,1965,산,5
2,성인가요,1965,남촌,12
6,성인가요,1965,남,5
7,성인가요,1965,꽃,6
15,성인가요,1965,느것,8
16,성인가요,1965,실어,11
17,성인가요,1965,안,8
18,성인가요,1965,오리,9
19,성인가요,1965,남풍,8
20,성인가요,1965,불때,8
22,성인가요,1965,좋,8
23,성인가요,1965,데,8
24,성인가요,1965,저,9
36,성인가요,1965,노래,5
6,성인가요,1965,그,10
19,성인가요,1965,가슴,8
2,성인가요,1965,먼,6
22,성인가요,1965,등,5
31,성인가요,1965,만리,5
10,성인가요,1965,자장,8
