,genre,year,word,freq
1,"발라드, R&B/Soul",2003,널,11
18,"발라드, R&B/Soul",2003,내,19
23,"발라드, R&B/Soul",2003,사랑,15
28,"발라드, R&B/Soul",2003,나,16
38,"발라드, R&B/Soul",2003,너,11
45,"발라드, R&B/Soul",2003,니,22
13,"발라드, R&B/Soul",2004,날,11
18,"발라드, R&B/Soul",2004,내,23
21,"발라드, R&B/Soul",2004,우리,10
23,"발라드, R&B/Soul",2004,사랑,15
28,"발라드, R&B/Soul",2004,나,11
38,"발라드, R&B/Soul",2004,너,12
45,"발라드, R&B/Soul",2004,니,20
12,"발라드, R&B/Soul",2005,너,10
26,"발라드, R&B/Soul",2005,그,10
13,"발라드, R&B/Soul",2005,그대,10
22,"발라드, R&B/Soul",2005,날,11
0,"발라드, R&B/Soul",2006,사랑,17
2,일렉트로니카,2014,너,35
18,일렉트로니카,2014,날,12
19,일렉트로니카,2014,내,11
9,"일렉트로니카, 국내드라마",2005,너,10
22,"발라드, R&B/Soul, 국내드라마",2014,말,15
1,"발라드, R&B/Soul, 국내드라마",2017,너,10
1,"댄스, 일렉트로니카",2013,빙수,22
5,"댄스, 일렉트로니카",2013,콩떡,11
0,"랩/힙합, 국내드라마",2014,나,10
1,"랩/힙합, 국내드라마",2014,왜,20
4,"랩/힙합, 인디음악",2014,내,11
0,"랩/힙합, 인디음악",2020,너,24
1,"랩/힙합, 인디음악",2020,나,14
1,"발라드, 랩/힙합, 국내드라마",2015,봄,10
2,"발라드, 랩/힙합, 국내드라마",2015,향기,10
3,"발라드, 랩/힙합, 국내드라마",2015,너,23
22,"발라드, 랩/힙합, 국내드라마",2015,내,20
39,"발라드, 랩/힙합, 국내드라마",2015,날,12
47,"발라드, 랩/힙합, 국내드라마",2015,말,11
14,"발라드, 랩/힙합, 국내드라마",2015,사랑,14
42,"발라드, 랩/힙합, 국내드라마",2015,네,12
5,"발라드, 인디음악",2017,항상,10
8,"발라드, 인디음악",2017,것,14
11,"발라드, 인디음악",2017,같아,12
2,"발라드, 인디음악",2018,너,20
5,"발라드, 인디음악",2018,항상,15
8,"발라드, 인디음악",2018,것,15
11,"발라드, 인디음악",2018,같아,12
19,"발라드, 인디음악",2018,나,10
0,"발라드, 인디음악",2019,내,27
1,"발라드, 인디음악",2019,니,12
13,"발라드, 인디음악",2019,지금,12
14,"발라드, 인디음악",2019,뭐,12
15,"발라드, 인디음악",2019,해,10
26,"발라드, 인디음악",2019,말,14
32,"발라드, 인디음악",2019,술,14
34,"발라드, 인디음악",2019,보고,10
42,"발라드, 인디음악",2019,너,12
21,"발라드, 인디음악",2019,전부,10
22,"발라드, 인디음악",2019,그대,14
0,"발라드, 인디음악",2020,내,24
1,"발라드, 인디음악",2020,니,12
13,"발라드, 인디음악",2020,지금,12
14,"발라드, 인디음악",2020,뭐,12
15,"발라드, 인디음악",2020,해,10
26,"발라드, 인디음악",2020,말,10
32,"발라드, 인디음악",2020,술,14
34,"발라드, 인디음악",2020,보고,10
22,"발라드, 인디음악",2020,그대,14
2,"인디음악, 일렉트로니카",2018,너,28
4,"인디음악, 일렉트로니카",2018,걸,10
2,"인디음악, 일렉트로니카",2019,너,28
4,"인디음악, 일렉트로니카",2019,걸,10
1,"R&B/Soul, 인디음악",2019,밤,12
4,"R&B/Soul, 인디음악",2019,속,10
5,"R&B/Soul, 인디음악",2019,너,10
7,"R&B/Soul, 인디음악",2019,날,10
28,"R&B/Soul, 인디음악",2019,내,24
29,"R&B/Soul, 인디음악",2019,이,10
39,"R&B/Soul, 인디음악",2019,넌,10
1,"R&B/Soul, 인디음악",2020,밤,13
4,"R&B/Soul, 인디음악",2020,속,10
5,"R&B/Soul, 인디음악",2020,너,16
7,"R&B/Soul, 인디음악",2020,날,15
16,"R&B/Soul, 인디음악",2020,맘,10
17,"R&B/Soul, 인디음악",2020,널,14
28,"R&B/Soul, 인디음악",2020,내,27
29,"R&B/Soul, 인디음악",2020,이,13
39,"R&B/Soul, 인디음악",2020,넌,12
