Source,Target,Weight
세상(N),있(P),22
세상(N),하(P),16
세월(N),지나(P),10
속(N),깊(P),11
속(N),많(P),6
속(N),묻히(P),6
속(N),없(P),15
속(N),있(P),14
손(N),내밀(P),12
손(N),잡(P),20
수(N),많(P),10
수(N),없(P),8
수(N),있(P),8
순(N),없(P),7
순간(N),보(P),7
순간(N),있(P),10
순간(N),힘들(P),7
술(N),취하(P),9
숨(N),쉬(P),21
슬픔(N),알(P),6
슬픔(N),없(P),9
시간(N),같(P),7
시간(N),많(P),21
시간(N),변하(P),8
시간(N),없(P),15
시간(N),오(P),8
시간(N),있(P),6
시간(N),지나(P),10
시간(N),지나가(P),6
시간(N),흐르(P),19
시작(N),길들(P),6
시작(N),없(P),8
시작(N),있(P),12
시절(N),어리(P),17
신(N),나(P),9
신경(N),쓰(P),6
아무것(N),모르(P),6
아무것(N),없(P),15
아침(N),오(P),9
아픔(N),남기(P),7
아픔(N),없(P),10
안(N),있(P),7
안녕(N),하(P),6
알수(N),없(P),13
앞(N),보(P),10
앞(N),서(P),9
앞(N),없(P),6
앞(N),있(P),9
앞(N),튕기(P),8
약속(N),많(P),6
약속(N),없(P),6
약속(N),하(P),8
얘기(N),만들(P),6
얘기(N),없(P),11
얘기(N),있(P),6
얘기(N),하(P),17
어깨(N),감싸(P),6
어려움(N),있(P),7
얼굴(N),똑같(P),6
얼마(N),하(P),6
연인(N),되(P),7
영원(N),위하(P),6
영원(N),있(P),7
옆(N),있(P),11
예(N),있(P),7
오(N),사(P),12
오(N),슬프(P),8
오(N),하(P),6
오늘(N),있(P),18
오늘(N),하(P),7
오오(N),가(P),6
요지경(N),이(P),8
용기(N),있(P),8
용서(N),없(P),8
웃음(N),짓(P),9
위(N),있(P),8
의미(N),되(P),9
의미(N),없(P),21
이름(N),부르(P),19
이별(N),슬프(P),12
이별(N),싫(P),10
이별(N),없(P),16
이별(N),오(P),6
이별(N),있(P),10
이별(N),하(P),11
이상(N),싫(P),8
이상(N),없(P),18
이유(N),살아가(P),8
이제(N),가(P),7
이제(N),같(P),8
이제(N),그러(P),8
이제(N),기다리(P),9
이제(N),남(P),13
이제(N),눈감(P),7
이제(N),느끼(P),11
이제(N),되(P),14
이제(N),떠나(P),13
이제(N),멀(P),7
이제(N),묻히(P),7
이제(N),변하(P),6
이제(N),보(P),14
이제(N),살(P),6
이제(N),싫(P),9
이제(N),알(P),16
이제(N),없(P),52
이제(N),울(P),6
이제(N),웃(P),6
이제(N),위하(P),6
이제(N),있(P),30
이제(N),잊(P),29
이제(N),지우(P),11
이제(N),지치(P),6
이제(N),차(P),8
이제(N),하(P),38
이해(N),없(P),17
이해(N),있(P),6
이해(N),하(P),10
인생(N),책임지(P),8
일(N),되(P),9
일(N),없(P),29
일(N),있(P),13
일(N),하(P),16
자리(N),같(P),6
자신(N),보(P),6
자신(N),없(P),9
자신(N),있(P),8
잘못(N),하(P),7
잠(N),들(P),11
전화(N),걸(P),8
전화(N),하(P),6
조금(N),기다리(P),6
주저(N),하(P),7
준비(N),되(P),6
준비(N),위하(P),7
지(N),하(P),17
짐(N),되(P),9
참깨(N),열리(P),7
처음(N),만나(P),33
처음(N),보(P),19
처음(N),없(P),9
추억(N),남(P),8
추억(N),되(P),8
추억(N),만들(P),6
추억(N),아름답(P),7
추억(N),있(P),12
춤(N),추(P),18
친구(N),보(P),8
친구(N),없(P),7
친구(N),있(P),17
친구(N),좋(P),7
친구(N),친하(P),6
탐(N),이쁘(P),6
편지(N),쓰(P),10
포기(N),없(P),7
포기(N),하(P),7
폼(N),살(P),8
폼(N),죽(P),12
표정(N),없(P),12
품(N),안(P),7
품(N),안기(P),16
필요(N),없(P),37
하늘(N),날(P),6
하늘(N),보(P),7
하늘(N),알(P),7
하늘(N),있(P),7
하루(N),살(P),12
하루(N),있(P),9
하루(N),지나(P),7
하루(N),지나가(P),7
할(N),없(P),6
할래(N),그러(P),8
행복(N),없(P),8
행복(N),있(P),7
행복(N),하(P),6
헤야(N),하(P),6
헤이(N),하(P),6
혼자(N),있(P),10
혼자(N),좋(P),7
홈(N),하(P),6
홈마(N),하(P),12
화(N),나(P),8
후(N),길들(P),6
후(N),떠나(P),13
후(N),있(P),8
후(N),잠들(P),8
후회(N),없(P),19
후회(N),하(P),20
훗날(N),멀(P),12
흥보(N),가막히(P),14
힘(N),되(P),18
힘(N),들(P),24
