Source,Target,Weight
가슴(N),아프(P),8
가슴(N),안기(P),6
가지(N),그(P),6
간직(N),하(P),7
걱정(N),있(P),6
걸(N),모(P),7
것(N),같(P),6
것(N),알(P),6
결혼(N),하(P),10
곁(N),다가오(P),6
곁(N),떠나(P),10
곁(N),없(P),11
곁(N),이렇(P),11
곁(N),있(P),81
고개(N),숙이(P),6
고민(N),하(P),11
곳(N),가(P),9
곳(N),깊(P),26
곳(N),멀(P),19
곳(N),없(P),16
곳(N),오(P),6
곳(N),있(P),19
과거(N),없(P),8
그때(N),그(P),6
그때(N),기다리(P),6
그때(N),렇(P),6
그때(N),만나(P),8
그때(N),알(P),7
그때(N),하(P),9
기(N),가막히(P),17
기도(N),위하(P),8
기분(N),알(P),10
기분(N),없(P),8
기분(N),이렇(P),6
기억(N),나(P),7
기억(N),남(P),11
기억(N),남기(P),7
기억(N),멀(P),6
기억(N),슬프(P),10
기억(N),아프(P),6
기억(N),있(P),14
길(N),가(P),47
길(N),걷(P),11
길(N),떠나(P),8
길(N),막(P),9
길(N),멀(P),9
길(N),없(P),12
길(N),오(P),10
길(N),위하(P),7
길(N),있(P),7
꿈(N),가지(P),15
꿈(N),같(P),13
꿈(N),꾸(P),25
꿈(N),남(P),8
꿈(N),남기(P),14
꿈(N),떠나(P),6
꿈(N),만들(P),8
꿈(N),모(P),14
꿈(N),있(P),9
꿈(N),좋(P),9
꿈(N),찾(P),15
꿈(N),하(P),8
꿍따리(N),빠빠빠(P),6
끝(N),없(P),20
나(N),나(P),20
나(N),나나(P),17
나(N),나나나(P),22
날(N),그러(P),6
날(N),기다리(P),12
날(N),끝나(P),6
날(N),남(P),8
날(N),내리(P),9
날(N),되(P),6
날(N),떠나(P),9
날(N),떠나가(P),13
날(N),만나(P),20
날(N),많(P),33
날(N),말(P),7
날(N),버리(P),6
날(N),보(P),9
날(N),보내(P),6
날(N),살(P),11
날(N),살아가(P),6
날(N),없(P),20
날(N),오(P),18
날(N),외롭(P),11
날(N),위하(P),24
날(N),있(P),24
날(N),잊(P),15
날(N),주(P),7
날(N),지나(P),18
날(N),지나가(P),6
날(N),찾(P),7
날(N),하(P),11
날개(N),있(P),9
남(N),있(P),6
남자(N),있(P),8
내일(N),없(P),7
내일(N),향하(P),10
노래(N),듣(P),8
노래(N),부르(P),12
노래(N),슬프(P),9
노래(N),위하(P),6
눈(N),감(P),21
눈(N),내리(P),8
눈(N),담(P),6
눈(N),뜨(P),23
눈(N),마주치(P),7
눈(N),만나(P),6
눈(N),바라보(P),6
눈(N),보(P),9
눈(N),슬프(P),9
눈(N),하얗(P),7
눈(N),흐르(P),6
눈물(N),감추(P),10
눈물(N),나(P),12
눈물(N),닦(P),12
눈물(N),되(P),7
눈물(N),보(P),7
눈물(N),없(P),14
눈물(N),있(P),6
눈물(N),흐르(P),23
눈물(N),흘러내리(P),6
눈물(N),흘리(P),49
눈빛(N),보(P),9
눈빛(N),슬프(P),13
느낌(N),없(P),14
느낌(N),편하(P),6
능력(N),있(P),9
다(N),살(P),8
다음(N),만나(P),7
동안(N),만나(P),10
동안(N),살(P),8
동안(N),하(P),6
두근(N),두(P),12
뒤(N),돌아서(P),6
뒤(N),떠나(P),9
뒤(N),하(P),9
디러(N),디러(P),10
디러(N),러(P),8
디리(N),디러(P),11
디리(N),러(P),8
때(N),가(P),9
때(N),같(P),6
때(N),그렇(P),8
때(N),그립(P),7
때(N),나(P),6
때(N),느끼(P),7
때(N),닮(P),6
때(N),되(P),18
때(N),들(P),7
때(N),만나(P),16
때(N),보(P),22
때(N),보이(P),6
때(N),알(P),7
때(N),있(P),38
때(N),지나(P),6
때(N),지치(P),10
때(N),찾(P),8
때(N),하(P),10
때(N),힘들(P),11
라(N),랄(P),37
라(N),사(P),12
라라라라(N),랄(P),12
리(N),되(P),18
리지(N),울(P),6
릴(N),없(P),6
마(N),하(P),16
마음(N),같(P),6
마음(N),깊(P),18
마음(N),떠나가(P),6
마음(N),많(P),6
마음(N),모르(P),8
마음(N),변하(P),8
마음(N),보(P),11
마음(N),보이(P),10
마음(N),슬프(P),9
마음(N),아프(P),11
마음(N),알(P),23
마음(N),없(P),14
마음(N),위하(P),6
마음(N),하(P),11
마음(N),향하(P),16
마음속(N),깊(P),13
마음속(N),있(P),8
마지막(N),남(P),7
마지막(N),하(P),9
만(N),나(P),7
말(N),그러(P),9
말(N),그렇(P),10
말(N),그립(P),7
말(N),나(P),6
말(N),낯설(P),6
말(N),느끼(P),12
말(N),떠나(P),14
말(N),보(P),7
말(N),없(P),56
말(N),있(P),57
말(N),하(P),151
맘(N),들(P),8
맘(N),아프(P),10
맘(N),알(P),11
머리위(N),날아오(P),6
모습(N),같(P),10
모습(N),그리(P),10
모습(N),남(P),9
모습(N),다가오(P),6
모습(N),떠나(P),10
모습(N),바라보(P),8
모습(N),보(P),31
모습(N),보이(P),11
모습(N),싫(P),9
모습(N),아름답(P),8
모습(N),없(P),23
모습(N),울(P),8
모습(N),있(P),10
모습(N),잊(P),9
모습(N),찾(P),10
목소리(N),슬프(P),10
문(N),열(P),10
미소(N),슬프(P),8
미소(N),짓(P),17
미안(N),하(P),13
바다(N),험하(P),8
바람(N),불(P),9
바보(N),같(P),6
밖(N),없(P),9
반한(N),같(P),6
밤(N),길(P),6
밤(N),깊(P),6
밤(N),내리(P),8
밤(N),오(P),13
밤(N),이렇(P),9
별(N),반짝이(P),6
볼(N),없(P),6
볼(N),있(P),8
불만(N),있(P),6
붐(N),치(P),6
비(N),내리(P),24
비(N),오(P),32
비(N),이렇(P),9
비(N),젖(P),11
비밀(N),없(P),6
사람(N),가(P),11
사람(N),나(P),10
사람(N),떠나(P),12
사람(N),만나(P),19
사람(N),많(P),23
사람(N),보(P),8
사람(N),살(P),12
사람(N),수많(P),6
사람(N),없(P),10
사람(N),있(P),25
사람(N),좋(P),17
사람(N),지나가(P),6
사람(N),찾(P),9
사람(N),하(P),9
사랑(N),가(P),10
사랑(N),가르치(P),11
사랑(N),같(P),8
사랑(N),그러(P),16
사랑(N),그렇(P),10
사랑(N),길(P),7
사랑(N),끄(P),12
사랑(N),남(P),20
사랑(N),느끼(P),25
사랑(N),되(P),23
사랑(N),떠나(P),14
사랑(N),멀(P),9
사랑(N),모르(P),24
사랑(N),믿(P),6
사랑(N),받(P),11
사랑(N),버리(P),13
사랑(N),보내(P),7
사랑(N),보이(P),11
사랑(N),부르(P),6
사랑(N),빠지(P),9
사랑(N),살(P),9
사랑(N),슬프(P),18
사랑(N),싫증나(P),6
사랑(N),알(P),23
사랑(N),없(P),55
사랑(N),오(P),13
사랑(N),울(P),7
사랑(N),위하(P),24
사랑(N),이렇(P),13
사랑(N),있(P),63
사랑(N),잊(P),8
사랑(N),작(P),6
사랑(N),주(P),10
사랑(N),죽(P),7
사랑(N),지키(P),7
사랑(N),찾(P),8
사랑(N),하(P),98
사랑(N),힘들(P),7
사바(N),찾(P),6
사바(N),하(P),6
산(N),험하(P),8
살수(N),없(P),6
삶(N),남(P),7
상관(N),없(P),7
상처(N),받(P),12
새(N),날아가(P),8
새(N),되(P),18
새벽(N),오(P),7
생각(N),나(P),21
생각(N),되(P),8
생각(N),없(P),9
생각(N),있(P),12
생각(N),하(P),42
샤바라(N),빠빠빠(P),6
서로(N),느끼(P),6
서로(N),되(P),7
서로(N),위하(P),8
선물(N),주(P),6
성(N),서(P),7
세상(N),가지(P),7
세상(N),그렇(P),7
세상(N),기다리(P),6
세상(N),길들(P),6
세상(N),남기(P),9
세상(N),떠나(P),7
세상(N),만나(P),7
세상(N),만들(P),7
세상(N),모(P),9
세상(N),변하(P),8
세상(N),보(P),6
세상(N),살(P),8
세상(N),쉽(P),8
세상(N),아름답(P),7
세상(N),없(P),14
세상(N),오(P),6
세상(N),위하(P),6
