Source,Target,Weight
날(N),예쁘(P),6
날(N),오(P),13
날(N),울(P),9
날(N),웃(P),10
날(N),위하(P),10
날(N),있(P),11
날(N),잡(P),10
날(N),좋(P),16
날(N),지(P),6
날(N),찾(P),6
날(N),하(P),13
남(N),되(P),16
남(N),있(P),6
내일(N),없(P),6
내일(N),지나(P),6
내일(N),하(P),6
낼(N),보(P),7
너(N),나(P),16
너(N),너(P),6
네(N),가(P),7
네(N),끌리(P),6
노래(N),나오(P),8
노래(N),닿(P),7
노래(N),듣(P),26
노래(N),부르(P),20
노래(N),슬프(P),6
노래(N),좋아하(P),6
노래(N),쩔(P),10
노래(N),틀(P),8
뇌(N),되(P),6
눈(N),가리(P),6
눈(N),감(P),46
눈(N),내리(P),8
눈(N),담(P),9
눈(N),뜨(P),43
눈(N),맞추(P),9
눈(N),보(P),20
눈(N),보이(P),13
눈(N),부(P),8
눈(N),부시(P),6
눈(N),시(P),6
눈(N),오(P),103
눈물(N),나(P),21
눈물(N),모르(P),6
눈물(N),흐르(P),13
눈물(N),흘리(P),23
눈빛(N),보(P),8
눈치(N),보(P),8
느낌(N),맞(P),36
느낌(N),오(P),8
느낌(N),좋(P),9
다(N),아름답(P),8
다운(N),답(P),16
다운(N),아름답(P),18
다음(N),보이(P),14
달(N),뜨(P),6
달(N),밝(P),7
답(N),없(P),13
당장(N),있(P),7
당장(N),잠들(P),6
대답(N),없(P),6
덕분(N),주(P),7
돈(N),벌(P),16
뒤(N),돌아보(P),7
때(N),가(P),9
때(N),그립(P),6
때(N),기대(P),6
때(N),나(P),7
때(N),놀(P),8
때(N),되(P),8
때(N),뜨(P),15
때(N),르(P),6
때(N),먹(P),9
때(N),보(P),27
때(N),싫(P),7
때(N),아프(P),6
때(N),어리(P),13
때(N),없(P),10
때(N),예쁘(P),6
때(N),오(P),9
때(N),원하(P),7
때(N),이(P),7
때(N),이렇(P),8
때(N),있(P),20
때(N),좋(P),11
때(N),지나가(P),6
때(N),하(P),18
때(N),힘들(P),7
라(N),랄(P),12
라랄라(N),랄(P),6
랩(N),쩔(P),6
로맨스(N),하(P),12
리(N),가(P),6
마(N),괜찮(P),7
마(N),묻(P),17
마(N),보(P),6
마(N),잊어버리(P),7
마(N),하(P),15
마음(N),같(P),13
마음(N),닿(P),7
마음(N),말(P),6
마음(N),모르(P),8
마음(N),모으(P),6
마음(N),보(P),7
마음(N),보이(P),6
마음(N),아프(P),13
마음(N),알(P),11
마음(N),없(P),8
마음(N),원하(P),7
마음(N),있(P),9
마음(N),하(P),13
마지막(N),남(P),6
마지막(N),되(P),6
말(N),같(P),35
말(N),괜찮(P),13
말(N),그러(P),8
말(N),끝내(P),8
말(N),되(P),42
말(N),듣(P),16
말(N),들(P),8
말(N),많(P),21
말(N),말(P),6
말(N),맴돌(P),6
말(N),모르(P),8
말(N),보(P),15
말(N),슬프(P),6
말(N),싫(P),6
말(N),아프(P),9
말(N),알(P),20
말(N),어떻(P),13
말(N),없(P),53
말(N),위하(P),15
말(N),있(P),37
말(N),전하(P),9
말(N),좋(P),17
말(N),좋아하(P),11
말(N),하(P),187
맘(N),가(P),6
맘(N),같(P),8
맘(N),담(P),8
맘(N),덤(P),16
맘(N),되(P),6
맘(N),들(P),7
맘(N),모르(P),31
맘(N),보(P),20
맘(N),보이(P),7
맘(N),식(P),6
맘(N),아프(P),9
맘(N),알(P),14
맘(N),없(P),17
맘(N),있(P),7
맘(N),주(P),11
맘(N),지치(P),7
맘(N),채우(P),6
맘(N),하(P),13
맘(N),흔들리(P),10
맛(N),가(P),76
머리(N),갑(P),6
머리(N),돌(P),7
머리(N),띵하(P),6
머리(N),차(P),6
머리(N),하(P),6
멋(N),흐르(P),9
멜로(N),없(P),6
몰(N),모르(P),8
물보라(N),일으키(P),12
미소(N),짓(P),9
바가지(N),가(P),6
바다(N),푸르(P),10
바람(N),나가(P),8
바람(N),불(P),20
바람(N),스치(P),10
바람(N),좋(P),7
바람(N),차갑(P),8
바보(N),같(P),14
바보(N),기다리(P),8
바보(N),되(P),6
바보(N),모르(P),6
바보(N),알(P),7
바보(N),오(P),6
바보(N),주(P),6
밖(N),모르(P),7
밖(N),없(P),7
반(N),하(P),16
발끝(N),뿜뿜(P),6
발자국(N),남기(P),6
밤(N),가(P),9
밤(N),같(P),6
밤(N),길(P),10
밤(N),깊(P),10
밤(N),되(P),10
밤(N),뜨(P),6
밤(N),모르(P),9
밤(N),밝(P),6
밤(N),보(P),10
밤(N),보내(P),8
밤(N),보이(P),6
밤(N),빛나(P),23
밤(N),새우(P),9
밤(N),수많(P),6
밤(N),어둡(P),6
밤(N),없(P),10
밤(N),오(P),9
밤(N),잠들(P),6
밤(N),취하(P),6
배(N),벌(P),6
별(N),되(P),12
별(N),뜨(P),9
별(N),밝(P),6
별(N),보(P),8
별(N),빛나(P),16
별도(N),보(P),8
별빛(N),깊(P),6
별빛(N),빛나(P),7
보(N),되(P),6
봄(N),오(P),26
봄날(N),오(P),6
불(N),태우(P),8
비(N),내리(P),18
비(N),오(P),18
비잉(N),돌아가(P),6
빛(N),나(P),16
빛(N),되(P),24
빠(N),뿜(P),48
빠라바(N),빠(P),12
빠이빠이빠(N),뿜(P),24
뿜빠(N),뿜(P),24
사(N),걸어가(P),8
사람(N),그립(P),7
사람(N),되(P),12
사람(N),만나(P),22
사람(N),많(P),15
사람(N),믿(P),6
사람(N),보(P),6
사람(N),보이(P),7
사람(N),새롭(P),7
사람(N),없(P),8
사람(N),있(P),10
사람(N),좋(P),22
사람(N),하(P),12
사랑(N),같(P),18
사랑(N),그러(P),6
사랑(N),그렇(P),11
사랑(N),깊(P),9
사랑(N),나(P),8
사랑(N),되(P),38
사랑(N),떠나(P),7
사랑(N),만나(P),17
사랑(N),모르(P),6
사랑(N),미치(P),13
사랑(N),받(P),20
사랑(N),보(P),6
사랑(N),빠지(P),12
사랑(N),살(P),6
사랑(N),싫(P),7
사랑(N),아프(P),7
사랑(N),알(P),12
사랑(N),없(P),18
사랑(N),오(P),9
사랑(N),이렇(P),15
사랑(N),있(P),22
사랑(N),좋(P),16
사랑(N),지나(P),6
사랑(N),하(P),89
사랑이(N),없(P),6
사치(N),그대(P),9
상처(N),주(P),10
생각(N),나(P),21
생각(N),되(P),9
생각(N),보(P),6
생각(N),없(P),10
생각(N),하(P),26
생각(N),흔하(P),6
선(N),넘(P),13
선물(N),같(P),6
설(N),레(P),7
세상(N),되(P),7
세상(N),없(P),6
소리(N),들리(P),7
소리(N),지르(P),16
속(N),같(P),17
속(N),되(P),7
속(N),멈추(P),8
속(N),살(P),6
속(N),있(P),6
속(N),하(P),6
손(N),내밀(P),8
손(N),놓(P),6
손(N),닿(P),6
손(N),들(P),6
손(N),보(P),7
손(N),뻗(P),6
손(N),잡(P),44
손(N),흔들(P),8
순간(N),보(P),9
술(N),마시(P),12
술(N),취하(P),6
술(N),하(P),8
숨(N),막히(P),13
숨(N),쉬(P),35
숨(N),하(P),9
스타일(N),쩔(P),10
시간(N),가(P),26
시간(N),같(P),14
시간(N),길(P),11
시간(N),던지(P),6
시간(N),들(P),11
시간(N),멈추(P),29
시간(N),없(P),9
시간(N),이렇(P),6
시간(N),있(P),8
시간(N),지나(P),22
시간(N),지나가(P),11
시간(N),하(P),8
시간(N),흐르(P),15
시간(N),흘러가(P),6
시계(N),가(P),9
시계(N),멈추(P),8
시작(N),좋(P),7
신(N),나(P),6
신경(N),쓰(P),19
심장(N),뛰(P),8
싸가지(N),가(P),6
쐐(N),나가(P),8
아무것(N),모르(P),6
아무것(N),없(P),19
아무것(N),하(P),13
아침(N),뜨(P),12
아침(N),오(P),7
아침(N),커다랗(P),6
아픔(N),없(P),6
안(N),보(P),11
안(N),있(P),10
앞(N),보(P),6
앞(N),서(P),10
애(N),다르(P),9
애(N),쓰(P),6
애(N),타(P),7
야(N),빛나(P),6
야(N),하(P),6
얘기(N),같(P),8
얘기(N),듣(P),7
얘기(N),하(P),10
어른(N),되(P),13
얼굴(N),예쁘(P),7
얼굴(N),찌푸리(P),8
얼마(N),되(P),6
엉덩이(N),흔들(P),9
엔딩(N),슬프(P),6
여름(N),덥(P),7
여름(N),들려주(P),6
여름(N),뜨겁(P),7
여름(N),주(P),8
여름(N),춥(P),10
여름(N),틀(P),8
여우(N),하(P),6
여자(N),낯설(P),18
여자(N),있(P),10
여행(N),길(P),6
연락(N),하(P),6
영수증(N),위하(P),11
영수증(N),챙기(P),7
옆(N),있(P),22
오(N),나(P),6
오(N),오(P),6
오늘(N),가(P),6
오늘(N),같(P),12
오늘(N),따르(P),6
오늘(N),모르(P),8
오늘(N),보(P),9
오늘(N),살(P),6
오늘(N),알(P),6
오늘(N),없(P),7
오늘(N),예쁘(P),6
오늘(N),지나(P),7
오랜만(N),모이(P),6
오랜만(N),좋(P),6
오오오(N),좋(P),10
옷(N),꼬라(P),6
옷(N),입(P),8
와(N),오(P),42
요즘(N),되(P),7
요즘(N),이렇(P),6
용기(N),내(P),7
운명(N),찾아내(P),6
웃음(N),짓(P),7
원(N),하(P),12
위(N),가(P),10
위(N),던지(P),6
위(N),멈추(P),8
위(N),하(P),6
음악(N),있(P),6
의미(N),없(P),26
이름(N),부르(P),7
이별(N),있(P),6
이별(N),하(P),6
이상(N),감추(P),9
이상(N),묻(P),8
이상(N),싫(P),6
이상(N),없(P),12
이야기(N),흔하(P),9
이유(N),좋(P),11
이유(N),헤어지(P),6
이제(N),같(P),6
이제(N),되(P),17
이제(N),싫(P),6
이제(N),알(P),16
이제(N),없(P),13
이제(N),오(P),10
이제(N),있(P),6
이제(N),주(P),6
이제(N),하(P),12
이해(N),없(P),9
이해(N),하(P),6
인사(N),하(P),6
일(N),그렇(P),6
일(N),꾸(P),8
일(N),되(P),9
일(N),많(P),11
일(N),설레(P),8
일(N),없(P),33
일(N),있(P),12
일(N),지나(P),6
일(N),하(P),23
입(N),맞추(P),23
자신(N),없(P),13
자신(N),있(P),19
잔(N),기울이(P),6
잔(N),하(P),9
잠(N),깨(P),8
잠(N),들(P),22
잠(N),오(P),16
잠(N),자(P),10
전(N),가(P),12
전(N),늦(P),10
전부(N),되(P),8
전화(N),걸(P),7
정(N),없(P),6
정신(N),나(P),7
정신(N),차리(P),16
주인공(N),되(P),6
준비(N),되(P),6
준비(N),모르(P),6
지(N),꼬라(P),6
지금(N),있(P),6
진심(N),없(P),10
진짜(N),보(P),10
집(N),가(P),11
집(N),돌아오(P),9
집(N),하(P),6
짓(N),미치(P),14
짓(N),하(P),10
차(N),가(P),6
처음(N),만나(P),17
처음(N),보(P),12
천사(N),같(P),6
추억(N),되(P),10
추억(N),위하(P),7
추억(N),챙기(P),6
춤(N),추(P),34
친구(N),하(P),7
클럽(N),나오(P),8
틈(N),없(P),8
퍼(N),슬(P),9
퍼(N),울(P),7
폭죽(N),터트리(P),6
표정(N),짓(P),9
품(N),안기(P),10
피(N),하(P),7
필요(N),없(P),26
하늘(N),같(P),10
하늘(N),바라보(P),6
하늘(N),향하(P),7
하루(N),가(P),6
하루(N),보(P),10
하루(N),보내(P),10
하루(N),살(P),8
하루(N),없(P),17
하루(N),지나(P),9
해(N),지(P),7
햇살(N),같(P),6
행복(N),되(P),8
행복(N),빌(P),8
행복(N),있(P),6
향기(N),낯설(P),19
혼자(N),같(P),8
혼자(N),걷(P),7
혼자(N),두(P),6
혼자(N),있(P),22
후회(N),남(P),6
후회(N),모르(P),9
후회(N),없(P),10
힘(N),되(P),7
힘(N),들(P),6
