Source,Target,Weight
가(N),두(P),9
가(N),예쁘(P),6
가슴(N),뛰(P),19
가슴(N),아프(P),12
가슴(N),하(P),8
가을(N),보(P),11
가을(N),커다랗(P),6
가을(N),타(P),10
가짜(N),없(P),12
거울(N),보(P),6
거짓말(N),같(P),10
걱정(N),되(P),6
걱정(N),말(P),8
걱정(N),하(P),8
건(N),드리(P),10
겁(N),나(P),15
겁(N),없(P),7
겨울(N),덥(P),7
겨울(N),주(P),8
겨울(N),춥(P),16
곁(N),떠나(P),11
곁(N),머무르(P),7
곁(N),있(P),57
계절(N),오(P),6
곳(N),가(P),9
곳(N),깊(P),10
곳(N),보(P),9
곳(N),없(P),16
곳(N),있(P),22
곳(N),찾(P),7
곳(N),향하(P),6
그때(N),그렇(P),6
그때(N),그립(P),12
그때(N),되(P),14
그때(N),모르(P),8
그때(N),알(P),7
그때(N),없(P),10
그때(N),오(P),10
그때(N),좋(P),9
그때(N),주(P),7
그때(N),틀(P),8
기대(N),되(P),16
기분(N),모이(P),7
기분(N),있(P),6
기분(N),잠들(P),6
기분(N),좋(P),22
기억(N),나(P),11
기억(N),떠오르(P),6
기억(N),아프(P),8
길(N),가(P),27
길(N),걷(P),6
길(N),따르(P),7
길(N),잃(P),11
꽃(N),지(P),6
꽃(N),피(P),27
꽃(N),피우(P),9
꿈(N),같(P),24
꿈(N),꾸(P),44
꿈(N),되(P),10
꿈(N),만나(P),6
꿈(N),좋(P),10
끝(N),나(P),6
끝(N),보(P),7
끝(N),없(P),10
끝장(N),보(P),11
나(N),나(P),10
나(N),나나(P),12
나(N),어쩌(P),12
나(N),저쩌(P),12
날(N),가(P),6
날(N),같(P),15
날(N),되(P),8
날(N),두(P),7
날(N),떠나(P),9
날(N),떠나가(P),7
날(N),만나(P),6
날(N),많(P),13
날(N),모르(P),14
날(N),미치(P),20
날(N),보(P),20
날(N),살(P),7
날(N),안(P),7
날(N),알(P),8
날(N),어리(P),7
날(N),없(P),16
